rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-14,REGULAR MENU,10:30AM (11AM weekend) - Close,4049.35,672,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,TOTAL DAY,All hours,4931.64,895,Friday
1364,SEA/TCA WA CP-0024,2011-01-15,AFTER 4PM,4PM - Close,1512.77,245,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,AFTERNOON,2PM - 4PM,733.82,106,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,BREAKFAST,Open - 10:30AM (11AM weekend),1177.26,226,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,DINNER,4PM - 9PM,1076.49,181,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,EVENING,9PM - Close,436.28,64,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,LATE NIGHT,11PM - 5AM,179.75,24,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,LUNCH,11AM -  2PM,1267.9,183,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,MORNING,Open - 11AM,1177.26,226,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,REGULAR MENU,10:30AM (11AM weekend) - Close,3514.49,534,Saturday
1364,SEA/TCA WA CP-0024,2011-01-15,TOTAL DAY,All hours,4691.75,760,Saturday
1364,SEA/TCA WA CP-0024,2011-01-16,AFTER 4PM,4PM - Close,1164.53,202,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,AFTERNOON,2PM - 4PM,560.55,85,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,BREAKFAST,Open - 10:30AM (11AM weekend),1086.44,188,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,DINNER,4PM - 9PM,1000.46,173,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,EVENING,9PM - Close,164.07,29,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,LATE NIGHT,11PM - 5AM,0.0,0,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,LUNCH,11AM -  2PM,796.27,116,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,MORNING,Open - 11AM,1086.44,188,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,REGULAR MENU,10:30AM (11AM weekend) - Close,2521.35,403,Sunday
1364,SEA/TCA WA CP-0024,2011-01-16,TOTAL DAY,All hours,3607.79,591,Sunday
